Plate,Group,Treatment,Day,Location,Well ID,Sample ID,Standard,sCD40L,hEGF,hEotaxin,hFGF-2,hFLT-3L,hFractalkine,hG-CSF,hGM-CSF,hGROa,hIFNa2,hIFNy,hIL-1a,hIL-1b,hIL-1RA,hIL-2,hIL-3,hIL-4,hIL-5,hIL-6,hIL-7,hIL-8,hIL-9,hIL-10,hIL-12(p40),hIL-12(p70),hIL-13,hIL-15,hIL-17A,hIL-17E/IL-25,hIL-17F,hIL-18,hIL-22,hIL-27,hIP-10,hMCP-1,hMCP-3,hM-CSF,hMDC,hMIG/CXCL9,hMIP-1a,hMIP-1b,hPDGF-AA,hPDGF-AB/BB,hRANTES,hTGFa,hTNFa,hTNFb,hVEGF-A
Plate 1,mgh1_dual_13,Dual,13,K18,166,,Standard Curve Group 1,-,14.18844,3.269131,317.9936,1.897903,-,17.41129,153.8175,-,8.639331,3.527231,2.970319,4.217502,-,1.541549,1.469994,1.75486,0.435425,1.238715,7.291198,0.287374,-,4.877728,-,-,-,18.85975,12.21288,156.0157,-,-,49.28101,316.8473,12.03988,26.02651,33.32776,-,0.922577,-,-,-,11.79784,867.4384,1.206125,2.854123,4.257832,8.616353,16.95925
Plate 1,mgh1_dual_15,Dual,15,K19,167,,Standard Curve Group 1,131.2233,16.38705,2.962528,333.3451,2.21793,-,19.79114,157.1101,0.946525,5.725324,4.151915,1.845751,4.719932,-,1.628105,2.246777,2.164695,-,1.226344,8.286075,0.199848,-,-,-,-,-,18.61039,11.14473,143.6078,-,-,51.78474,368.5565,13.21934,26.58414,35.97894,-,1.058425,-,-,-,8.501864,833.36,1.137709,3.398096,4.0745,10.41408,13.39942
Plate 1,mgh1_dual_15,Dual,15,K20,168,,Standard Curve Group 1,122.5811,18.14369,9.047887,335.6689,2.113087,-,19.33715,175.9839,1.057336,6.879297,3.364983,2.724418,4.689251,2.624332,1.773038,2.499135,1.929319,-,1.351666,11.12177,0.224141,-,4.916095,-,-,-,17.78808,14.26346,152.2519,-,-,56.99982,383.8949,17.28218,28.15633,37.51241,-,0.866376,-,-,-,9.964835,858.4399,1.195721,2.795472,5.238056,8.842396,14.57799
Plate 1,mgh1_dual_15,Dual,15,K21,169,,Standard Curve Group 1,124.763,19.28083,6.658873,365.803,2.0762,-,23.51583,328.9446,1.418267,6.120502,5.002253,2.550724,5.026845,-,2.71653,3.004147,2.23031,-,1.414198,24.14919,0.141895,-,7.232448,-,-,-,19.26742,13.29847,187.2669,-,-,68.19156,377.4512,15.74643,29.28314,42.12624,-,1.079874,-,-,-,12.45294,914.3108,1.273442,3.032453,4.483294,8.485079,15.65975
Plate 1,mgh1_dual_15,Dual,15,K22,170,,Standard Curve Group 1,141.816,15.68955,7.028817,327.083,1.899802,-,14.45392,115.0139,0.893542,5.767451,3.64848,2.633428,3.989512,2.686205,2.049969,1.801772,2.025379,-,1.294331,5.929173,0.146947,-,-,-,13.36325,-,17.37267,10.30925,180.5999,-,-,51.78111,339.1772,14.59554,28.50779,35.76352,-,0.859924,-,-,-,10.48385,970.8541,0.97168,2.936436,4.567207,9.584754,-
Plate 1,mgh1_dual_15,Dual,15,K23,171,,Standard Curve Group 1,-,16.51615,3.560936,330.0483,1.961982,-,18.6068,295.5031,-,6.623258,3.202562,37.7763,18.19698,19.07697,2.064968,2.376326,1.982694,-,0.996741,26.80469,0.726576,-,-,-,14.26311,-,17.23984,11.68373,141.7466,-,-,62.33251,346.4808,14.49435,28.48149,35.46973,-,1.269378,-,-,-,10.27856,904.1575,1.010498,2.634595,6.814616,8.825295,-
Plate 1,mgh1_dual_15,Dual,15,K24,172,,Standard Curve Group 1,-,18.03999,3.366167,354.8758,1.983894,-,16.65172,86.63881,-,3.944225,3.468684,3.274796,3.09889,-,1.880041,2.396508,2.151869,-,0.972718,7.75691,-,-,-,-,-,-,17.36266,11.77114,152.41,-,-,55.64901,419.1085,14.27195,27.10873,36.68786,-,0.957168,-,-,-,14.2711,842.6855,1.006879,2.79671,6.247492,8.491968,-
Plate 1,mgh1_dual_17,Dual,17,L13,173,,Standard Curve Group 1,135.2194,15.79574,6.706641,350.8391,2.293279,-,17.23899,64.78754,1.371959,7.778103,4.118677,2.771268,5.085091,-,1.666501,1.453665,2.000098,-,1.133241,2.354862,0.187357,-,6.26733,-,-,-,18.5811,11.59888,149.401,-,-,45.93065,427.0961,13.305,28.22135,40.16323,-,0.666579,-,-,-,8.845491,817.7835,1.204677,3.113456,3.742162,9.289502,17.06049
Plate 1,mgh1_dual_17,Dual,17,L14,174,,Standard Curve Group 1,-,13.18806,5.460529,345.7428,2.186603,-,13.72963,68.09425,-,8.499388,4.014339,2.76587,4.059092,-,1.619445,0.826316,1.813603,0.7221,1.235002,1.276379,0.20996,-,6.643125,-,-,-,18.2574,10.34557,145.5848,-,-,47.62863,384.1872,11.33734,26.81515,32.3793,-,1.000625,-,-,-,11.03134,811.4015,-,2.956055,4.268485,7.735061,16.93576
Plate 1,mgh1_dual_17,Dual,17,L15,175,,Standard Curve Group 1,150.6969,14.82736,6.773386,338.6363,2.266489,-,14.37105,68.30298,1.138191,9.380242,3.985789,2.650881,4.760071,-,1.739196,1.545958,2.058773,0.355544,1.3067,1.443564,0.413411,-,6.271075,-,-,-,18.74062,9.432864,146.8142,-,-,51.69669,348.857,12.53517,29.70432,35.33657,-,0.66455,-,-,-,10.02881,836.5615,1.303226,2.576326,3.501103,11.19963,15.92327
